"trial","dataset","model","score"
"33","moons","Linear Discriminant Analysis","0.875"
"33","moons","NN","0.875"
"33","moons","NN + L2","0.9"
"33","moons","NN + Scale Invariant","0.875"
"33","circles","Random Forest","0.725"
"33","circles","Linear Discriminant Analysis","0.425"
"33","circles","NN","0.575"
"33","circles","NN + L2","0.6"
"33","circles","NN + Scale Invariant","0.625"
"33","linear","Random Forest","0.8"
"33","linear","Linear Discriminant Analysis","0.8"
"33","linear","NN","0.75"
"33","linear","NN + L2","0.775"
"33","linear","NN + Scale Invariant","0.725"
"34","moons","Random Forest","0.875"
"34","moons","Linear Discriminant Analysis","0.825"
"34","moons","NN","0.825"
"34","moons","NN + L2","0.8"
"34","moons","NN + Scale Invariant","0.85"
"34","circles","Random Forest","0.825"
"34","circles","Linear Discriminant Analysis","0.55"
"34","circles","NN","0.85"
"34","circles","NN + L2","0.7"
"34","circles","NN + Scale Invariant","0.75"
"34","linear","Random Forest","0.75"
"34","linear","Linear Discriminant Analysis","0.775"
"34","linear","NN","0.75"
"34","linear","NN + L2","0.725"
"34","linear","NN + Scale Invariant","0.725"
"35","moons","Random Forest","0.825"
"35","moons","Linear Discriminant Analysis","0.875"
"35","moons","NN","0.85"
"35","moons","NN + L2","0.85"
"35","moons","NN + Scale Invariant","0.85"
"35","circles","Random Forest","0.825"
"35","circles","Linear Discriminant Analysis","0.375"
"35","circles","NN","0.85"
"35","circles","NN + L2","0.45"
"35","circles","NN + Scale Invariant","0.65"
"35","linear","Random Forest","0.875"
"35","linear","Linear Discriminant Analysis","0.825"
"35","linear","NN","0.825"
"35","linear","NN + L2","0.85"
"35","linear","NN + Scale Invariant","0.825"
"36","moons","Random Forest","0.9"
"36","moons","Linear Discriminant Analysis","0.925"
"36","moons","NN","0.925"
"36","moons","NN + L2","0.925"
"36","moons","NN + Scale Invariant","0.925"
"36","circles","Random Forest","0.625"
"36","circles","Linear Discriminant Analysis","0.375"
"36","circles","NN","0.575"
"36","circles","NN + L2","0.625"
"36","circles","NN + Scale Invariant","0.55"
"36","linear","Random Forest","0.825"
"36","linear","Linear Discriminant Analysis","0.825"
