"trial","dataset","model","score"
"22","circles","Linear Discriminant Analysis","0.4"
"22","circles","NN","0.5"
"22","circles","NN + L2","0.4"
"22","circles","NN + Scale Invariant","0.9"
"22","linear","Random Forest","0.5"
"22","linear","Linear Discriminant Analysis","0.6"
"22","linear","NN","0.7"
"22","linear","NN + L2","0.7"
"22","linear","NN + Scale Invariant","0.6"
"23","moons","Random Forest","0.7"
"23","moons","Linear Discriminant Analysis","0.9"
"23","moons","NN","0.9"
"23","moons","NN + L2","0.9"
"23","moons","NN + Scale Invariant","0.7"
"23","circles","Random Forest","0.7"
"23","circles","Linear Discriminant Analysis","0.4"
"23","circles","NN","0.6"
"23","circles","NN + L2","0.6"
"23","circles","NN + Scale Invariant","0.6"
"23","linear","Random Forest","1.0"
"23","linear","Linear Discriminant Analysis","1.0"
"23","linear","NN","1.0"
"23","linear","NN + L2","0.9"
"23","linear","NN + Scale Invariant","1.0"
"24","moons","Random Forest","0.9"
"24","moons","Linear Discriminant Analysis","0.9"
"24","moons","NN","0.9"
"24","moons","NN + L2","0.9"
"24","moons","NN + Scale Invariant","0.9"
"24","circles","Random Forest","0.7"
"24","circles","Linear Discriminant Analysis","0.3"
"24","circles","NN","0.3"
"24","circles","NN + L2","0.3"
"24","circles","NN + Scale Invariant","0.3"
"24","linear","Random Forest","0.7"
"24","linear","Linear Discriminant Analysis","0.7"
"24","linear","NN","0.6"
"24","linear","NN + L2","0.7"
"24","linear","NN + Scale Invariant","0.7"
"25","moons","Random Forest","0.8"
"25","moons","Linear Discriminant Analysis","0.8"
"25","moons","NN","0.8"
"25","moons","NN + L2","0.8"
"25","moons","NN + Scale Invariant","0.8"
"25","circles","Random Forest","0.6"
"25","circles","Linear Discriminant Analysis","0.5"
"25","circles","NN","0.4"
"25","circles","NN + L2","0.5"
"25","circles","NN + Scale Invariant","0.4"
"25","linear","Random Forest","0.6"
"25","linear","Linear Discriminant Analysis","0.7"
"25","linear","NN","0.7"
"25","linear","NN + L2","0.7"
"25","linear","NN + Scale Invariant","0.7"
"26","moons","Random Forest","0.6"
"26","moons","Linear Discriminant Analysis","0.7"
"26","moons","NN","0.7"
"26","moons","NN + L2","0.7"
"26","moons","NN + Scale Invariant","0.8"
"26","circles","Random Forest","0.4"
"26","circles","Linear Discriminant Analysis","0.4"
"26","circles","NN","0.5"
"26","circles","NN + L2","0.7"
"26","circles","NN + Scale Invariant","0.6"
"26","linear","Random Forest","0.6"
"26","linear","Linear Discriminant Analysis","1.0"
"26","linear","NN","0.8"
"26","linear","NN + L2","1.0"
"26","linear","NN + Scale Invariant","0.9"
"27","moons","Random Forest","0.7"
"27","moons","Linear Discriminant Analysis","1.0"
"27","moons","NN","1.0"
"27","moons","NN + L2","1.0"
"27","moons","NN + Scale Invariant","0.9"
"27","circles","Random Forest","0.6"
"27","circles","Linear Discriminant Analysis","0.6"
"27","circles","NN","0.6"
"27","circles","NN + L2","0.6"
"27","circles","NN + Scale Invariant","0.3"
"27","linear","Random Forest","1.0"
"27","linear","Linear Discriminant Analysis","0.9"
"27","linear","NN","1.0"
"27","linear","NN + L2","1.0"
"27","linear","NN + Scale Invariant","1.0"
"28","moons","Random Forest","0.7"
"28","moons","Linear Discriminant Analysis","0.8"
"28","moons","NN","0.7"
"28","moons","NN + L2","0.7"
"28","moons","NN + Scale Invariant","0.8"
"28","circles","Random Forest","0.3"
"28","circles","Linear Discriminant Analysis","0.1"
"28","circles","NN","0.2"
"28","circles","NN + L2","0.2"
"28","circles","NN + Scale Invariant","0.2"
"28","linear","Random Forest","0.5"
"28","linear","Linear Discriminant Analysis","0.7"
"28","linear","NN","0.8"
"28","linear","NN + L2","0.7"
"28","linear","NN + Scale Invariant","0.7"
"29","moons","Random Forest","0.9"
"29","moons","Linear Discriminant Analysis","1.0"
"29","moons","NN","1.0"
"29","moons","NN + L2","1.0"
"29","moons","NN + Scale Invariant","1.0"
"29","circles","Random Forest","0.9"
"29","circles","Linear Discriminant Analysis","0.4"
"29","circles","NN","0.4"
"29","circles","NN + L2","0.4"
"29","circles","NN + Scale Invariant","0.4"
"29","linear","Random Forest","0.5"
"29","linear","Linear Discriminant Analysis","0.7"
"29","linear","NN","0.7"
"29","linear","NN + L2","0.6"
"29","linear","NN + Scale Invariant","0.5"
"30","moons","Random Forest","0.9"
"30","moons","Linear Discriminant Analysis","0.8"
"30","moons","NN","0.9"
"30","moons","NN + L2","0.9"
"30","moons","NN + Scale Invariant","0.9"
"30","circles","Random Forest","0.8"
"30","circles","Linear Discriminant Analysis","0.3"
"30","circles","NN","0.3"
"30","circles","NN + L2","0.3"
"30","circles","NN + Scale Invariant","0.3"
"30","linear","Random Forest","0.7"
"30","linear","Linear Discriminant Analysis","1.0"
"30","linear","NN","1.0"
"30","linear","NN + L2","1.0"
"30","linear","NN + Scale Invariant","1.0"
"31","moons","Random Forest","0.9"
"31","moons","Linear Discriminant Analysis","1.0"
"31","moons","NN","1.0"
"31","moons","NN + L2","1.0"
"31","moons","NN + Scale Invariant","1.0"
"31","circles","Random Forest","0.3"
"31","circles","Linear Discriminant Analysis","0.3"
"31","circles","NN","0.3"
"31","circles","NN + L2","0.3"
"31","circles","NN + Scale Invariant","0.3"
"31","linear","Random Forest","0.7"
"31","linear","Linear Discriminant Analysis","1.0"
"31","linear","NN","0.9"
"31","linear","NN + L2","1.0"
"31","linear","NN + Scale Invariant","1.0"
"32","moons","Random Forest","0.7"
"32","moons","Linear Discriminant Analysis","0.8"
"32","moons","NN","0.8"
"32","moons","NN + L2","0.8"
"32","moons","NN + Scale Invariant","0.8"
"32","circles","Random Forest","0.5"
"32","circles","Linear Discriminant Analysis","0.5"
"32","circles","NN","0.4"
"32","circles","NN + L2","0.6"
"32","circles","NN + Scale Invariant","0.7"
"32","linear","Random Forest","1.0"
"32","linear","Linear Discriminant Analysis","1.0"
"32","linear","NN","1.0"
"32","linear","NN + L2","1.0"
"32","linear","NN + Scale Invariant","1.0"
"33","moons","Random Forest","0.8"
"33","moons","Linear Discriminant Analysis","0.8"
"33","moons","NN","0.8"
"33","moons","NN + L2","0.7"
"33","moons","NN + Scale Invariant","0.8"
"33","circles","Random Forest","0.5"
"33","circles","Linear Discriminant Analysis","0.3"
"33","circles","NN","0.3"
"33","circles","NN + L2","0.3"
"33","circles","NN + Scale Invariant","0.3"
"33","linear","Random Forest","0.7"
"33","linear","Linear Discriminant Analysis","0.9"
"33","linear","NN","0.8"
"33","linear","NN + L2","0.9"
"33","linear","NN + Scale Invariant","0.9"
"34","moons","Random Forest","0.9"
"34","moons","Linear Discriminant Analysis","1.0"
"34","moons","NN","1.0"
"34","moons","NN + L2","1.0"
"34","moons","NN + Scale Invariant","1.0"
"34","circles","Random Forest","0.5"
"34","circles","Linear Discriminant Analysis","0.3"
"34","circles","NN","0.4"
"34","circles","NN + L2","0.5"
"34","circles","NN + Scale Invariant","0.6"
"34","linear","Random Forest","0.6"
"34","linear","Linear Discriminant Analysis","0.6"
"34","linear","NN","0.8"
"34","linear","NN + L2","0.7"
"34","linear","NN + Scale Invariant","0.8"
"35","moons","Random Forest","0.8"
"35","moons","Linear Discriminant Analysis","0.8"
"35","moons","NN","0.8"
"35","moons","NN + L2","0.8"
"35","moons","NN + Scale Invariant","0.7"
"35","circles","Random Forest","0.6"
"35","circles","Linear Discriminant Analysis","0.4"
"35","circles","NN","0.5"
"35","circles","NN + L2","0.4"
"35","circles","NN + Scale Invariant","0.5"
"35","linear","Random Forest","0.9"
"35","linear","Linear Discriminant Analysis","1.0"
"35","linear","NN","1.0"
"35","linear","NN + L2","1.0"
"35","linear","NN + Scale Invariant","1.0"
"36","moons","Random Forest","0.6"
"36","moons","Linear Discriminant Analysis","0.9"
"36","moons","NN","0.8"
"36","moons","NN + L2","0.9"
"36","moons","NN + Scale Invariant","0.7"
"36","circles","Random Forest","0.4"
"36","circles","Linear Discriminant Analysis","0.6"
"36","circles","NN","0.6"
"36","circles","NN + L2","0.6"
"36","circles","NN + Scale Invariant","0.5"
"36","linear","Random Forest","0.9"
"36","linear","Linear Discriminant Analysis","0.8"
"36","linear","NN","0.9"
"36","linear","NN + L2","0.9"
"36","linear","NN + Scale Invariant","0.8"
"37","moons","Random Forest","0.8"
"37","moons","Linear Discriminant Analysis","0.9"
"37","moons","NN","0.9"
"37","moons","NN + L2","0.7"
"37","moons","NN + Scale Invariant","0.8"
"37","circles","Random Forest","0.4"
"37","circles","Linear Discriminant Analysis","0.4"
"37","circles","NN","0.3"
"37","circles","NN + L2","0.4"
"37","circles","NN + Scale Invariant","0.5"
"37","linear","Random Forest","0.6"
"37","linear","Linear Discriminant Analysis","0.6"
"37","linear","NN","0.5"
"37","linear","NN + L2","0.6"
"37","linear","NN + Scale Invariant","0.8"
"38","moons","Random Forest","0.8"
"38","moons","Linear Discriminant Analysis","0.8"
"38","moons","NN","0.8"
"38","moons","NN + L2","0.8"
"38","moons","NN + Scale Invariant","0.8"
"38","circles","Random Forest","0.7"
"38","circles","Linear Discriminant Analysis","0.4"
"38","circles","NN","0.4"
"38","circles","NN + L2","0.8"
"38","circles","NN + Scale Invariant","0.4"
"38","linear","Random Forest","0.8"
"38","linear","Linear Discriminant Analysis","1.0"
"38","linear","NN","0.9"
"38","linear","NN + L2","0.9"
"38","linear","NN + Scale Invariant","1.0"
"39","moons","Random Forest","0.8"
"39","moons","Linear Discriminant Analysis","1.0"
"39","moons","NN","0.9"
"39","moons","NN + L2","1.0"
"39","moons","NN + Scale Invariant","1.0"
"39","circles","Random Forest","0.5"
"39","circles","Linear Discriminant Analysis","0.4"
"39","circles","NN","0.3"
"39","circles","NN + L2","0.2"
"39","circles","NN + Scale Invariant","0.3"
"39","linear","Random Forest","1.0"
"39","linear","Linear Discriminant Analysis","1.0"
"39","linear","NN","1.0"
