"trial","dataset","model","missclassification"
"18","circles","Random Forest","0.125"
"18","circles","Linear Discriminant Analysis","0.55"
"18","circles","NN","0.25"
"18","circles","NN + L2","0.5"
"18","circles","NN + Scale Invariant","0.225"
"18","circles","NN + Offset Invariant","0.375"
"18","linear","Random Forest","0.225"
"18","linear","Linear Discriminant Analysis","0.25"
"18","linear","NN","0.25"
"18","linear","NN + L2","0.525"
"18","linear","NN + Scale Invariant","0.25"
"18","linear","NN + Offset Invariant","0.25"
"18","xor","Random Forest","0.125"
"18","xor","Linear Discriminant Analysis","0.525"
"18","xor","NN","0.225"
"18","xor","NN + L2","0.45"
"18","xor","NN + Scale Invariant","0.2"
"18","xor","NN + Offset Invariant","0.15"
"19","moons","Random Forest","0.2"
"19","moons","Linear Discriminant Analysis","0.225"
"19","moons","NN","0.25"
"19","moons","NN + L2","0.525"
"19","moons","NN + Scale Invariant","0.2"
"19","moons","NN + Offset Invariant","0.25"
"19","circles","Random Forest","0.225"
"19","circles","Linear Discriminant Analysis","0.5"
"19","circles","NN","0.35"
"19","circles","NN + L2","0.525"
"19","circles","NN + Scale Invariant","0.3"
"19","circles","NN + Offset Invariant","0.275"
"19","linear","Random Forest","0.275"
"19","linear","Linear Discriminant Analysis","0.175"
"19","linear","NN","0.225"
"19","linear","NN + L2","0.575"
"19","linear","NN + Scale Invariant","0.2"
"19","linear","NN + Offset Invariant","0.2"
"19","xor","Random Forest","0.275"
"19","xor","Linear Discriminant Analysis","0.425"
"19","xor","NN","0.325"
"19","xor","NN + L2","0.575"
"19","xor","NN + Scale Invariant","0.25"
"19","xor","NN + Offset Invariant","0.2"
"20","moons","Random Forest","0.075"
"20","moons","Linear Discriminant Analysis","0.175"
"20","moons","NN","0.15"
"20","moons","NN + L2","0.575"
"20","moons","NN + Scale Invariant","0.225"
"20","moons","NN + Offset Invariant","0.15"
"20","circles","Random Forest","0.175"
"20","circles","Linear Discriminant Analysis","0.6"
"20","circles","NN","0.375"
"20","circles","NN + L2","0.525"
"20","circles","NN + Scale Invariant","0.45"
"20","circles","NN + Offset Invariant","0.4"
"20","linear","Random Forest","0.075"
"20","linear","Linear Discriminant Analysis","0.175"
"20","linear","NN","0.25"
"20","linear","NN + L2","0.65"
"20","linear","NN + Scale Invariant","0.2"
