"trial","dataset","model","missclassification"
"41","moons","NN + Offset","0.15"
"41","circles","NN","0.575"
"41","circles","NN + L2","0.525"
"41","circles","NN + Scale","0.625"
"41","circles","NN + Offset","0.45"
"41","linear","NN","0.275"
"41","linear","NN + L2","0.3"
"41","linear","NN + Scale","0.35"
"41","linear","NN + Offset","0.275"
"41","xor","NN","0.3"
"41","xor","NN + L2","0.425"
"41","xor","NN + Scale","0.45"
"41","xor","NN + Offset","0.475"
"42","moons","NN","0.125"
"42","moons","NN + L2","0.125"
"42","moons","NN + Scale","0.125"
"42","moons","NN + Offset","0.125"
"42","circles","NN","0.325"
"42","circles","NN + L2","0.125"
"42","circles","NN + Scale","0.425"
"42","circles","NN + Offset","0.3"
"42","linear","NN","0.2"
"42","linear","NN + L2","0.15"
"42","linear","NN + Scale","0.2"
"42","linear","NN + Offset","0.35"
"42","xor","NN","0.225"
"42","xor","NN + L2","0.1"
"42","xor","NN + Scale","0.325"
"42","xor","NN + Offset","0.15"
"43","moons","NN","0.25"
"43","moons","NN + L2","0.25"
"43","moons","NN + Scale","0.275"
"43","moons","NN + Offset","0.15"
"43","circles","NN","0.6"
"43","circles","NN + L2","0.325"
"43","circles","NN + Scale","0.575"
"43","circles","NN + Offset","0.425"
"43","linear","NN","0.15"
"43","linear","NN + L2","0.1"
"43","linear","NN + Scale","0.125"
"43","linear","NN + Offset","0.175"
"43","xor","NN","0.15"
"43","xor","NN + L2","0.075"
"43","xor","NN + Scale","0.125"
"43","xor","NN + Offset","0.075"
"44","moons","NN","0.1"
"44","moons","NN + L2","0.125"
"44","moons","NN + Scale","0.175"
"44","moons","NN + Offset","0.1"
"44","circles","NN","0.4"
"44","circles","NN + L2","0.5"
"44","circles","NN + Scale","0.475"
"44","circles","NN + Offset","0.3"
"44","linear","NN","0.15"
"44","linear","NN + L2","0.1"
"44","linear","NN + Scale","0.175"
"44","linear","NN + Offset","0.275"
"44","xor","NN","0.2"
"44","xor","NN + L2","0.225"
"44","xor","NN + Scale","0.275"
"44","xor","NN + Offset","0.2"
"45","moons","NN","0.175"
"45","moons","NN + L2","0.2"
"45","moons","NN + Scale","0.2"
"45","moons","NN + Offset","0.2"
"45","circles","NN","0.575"
"45","circles","NN + L2","0.475"
"45","circles","NN + Scale","0.575"
"45","circles","NN + Offset","0.475"
"45","linear","NN","0.2"
"45","linear","NN + L2","0.225"
"45","linear","NN + Scale","0.2"
"45","linear","NN + Offset","0.3"
"45","xor","NN","0.2"
"45","xor","NN + L2","0.275"
"45","xor","NN + Scale","0.3"
"45","xor","NN + Offset","0.175"
"46","moons","NN","0.15"
"46","moons","NN + L2","0.175"
"46","moons","NN + Scale","0.225"
"46","moons","NN + Offset","0.15"
"46","circles","NN","0.5"
"46","circles","NN + L2","0.55"
"46","circles","NN + Scale","0.6"
"46","circles","NN + Offset","0.6"
"46","linear","NN","0.25"
"46","linear","NN + L2","0.25"
"46","linear","NN + Scale","0.375"
"46","linear","NN + Offset","0.375"
"46","xor","NN","0.075"
"46","xor","NN + L2","0.2"
"46","xor","NN + Scale","0.2"
"46","xor","NN + Offset","0.175"
"47","moons","NN","0.2"
"47","moons","NN + L2","0.2"
"47","moons","NN + Scale","0.2"
"47","moons","NN + Offset","0.225"
"47","circles","NN","0.6"
"47","circles","NN + L2","0.575"
"47","circles","NN + Scale","0.65"
"47","circles","NN + Offset","0.65"
"47","linear","NN","0.05"
"47","linear","NN + L2","0.05"
"47","linear","NN + Scale","0.0"
"47","linear","NN + Offset","0.05"
"47","xor","NN","0.175"
"47","xor","NN + L2","0.225"
"47","xor","NN + Scale","0.1"
"47","xor","NN + Offset","0.1"
"48","moons","NN","0.2"
"48","moons","NN + L2","0.3"
"48","moons","NN + Scale","0.25"
"48","moons","NN + Offset","0.175"
"48","circles","NN","0.325"
"48","circles","NN + L2","0.35"
"48","circles","NN + Scale","0.575"
"48","circles","NN + Offset","0.35"
"48","linear","NN","0.175"
"48","linear","NN + L2","0.175"
"48","linear","NN + Scale","0.175"
"48","linear","NN + Offset","0.2"
"48","xor","NN","0.175"
"48","xor","NN + L2","0.35"
"48","xor","NN + Scale","0.25"
"48","xor","NN + Offset","0.35"
"49","moons","NN","0.2"
"49","moons","NN + L2","0.25"
"49","moons","NN + Scale","0.25"
"49","moons","NN + Offset","0.2"
"49","circles","NN","0.225"
"49","circles","NN + L2","0.4"
"49","circles","NN + Scale","0.45"
"49","circles","NN + Offset","0.475"
"49","linear","NN","0.025"
"49","linear","NN + L2","0.0"
"49","linear","NN + Scale","0.0"
"49","linear","NN + Offset","0.075"
"49","xor","NN","0.1"
