"trial","dataset","model","missclassification"
"24","xor","NN + L2","0.225"
"24","xor","NN + Scale","0.2"
"24","xor","NN + Offset","0.2"
"25","moons","NN","0.175"
"25","moons","NN + L2","0.175"
"25","moons","NN + Scale","0.175"
"25","moons","NN + Offset","0.175"
"25","circles","NN","0.45"
"25","circles","NN + L2","0.375"
"25","circles","NN + Scale","0.4"
"25","circles","NN + Offset","0.375"
"25","linear","NN","0.075"
"25","linear","NN + L2","0.175"
"25","linear","NN + Scale","0.075"
"25","linear","NN + Offset","0.075"
"25","xor","NN","0.175"
"25","xor","NN + L2","0.225"
"25","xor","NN + Scale","0.15"
"25","xor","NN + Offset","0.125"
"26","moons","NN","0.25"
"26","moons","NN + L2","0.275"
"26","moons","NN + Scale","0.25"
"26","moons","NN + Offset","0.25"
"26","circles","NN","0.3"
"26","circles","NN + L2","0.475"
"26","circles","NN + Scale","0.35"
"26","circles","NN + Offset","0.4"
"26","linear","NN","0.25"
"26","linear","NN + L2","0.225"
"26","linear","NN + Scale","0.225"
"26","linear","NN + Offset","0.25"
"26","xor","NN","0.225"
"26","xor","NN + L2","0.25"
"26","xor","NN + Scale","0.275"
"26","xor","NN + Offset","0.2"
"27","moons","NN","0.175"
"27","moons","NN + L2","0.2"
"27","moons","NN + Scale","0.2"
"27","moons","NN + Offset","0.2"
"27","circles","NN","0.175"
"27","circles","NN + L2","0.475"
"27","circles","NN + Scale","0.475"
"27","circles","NN + Offset","0.3"
"27","linear","NN","0.15"
"27","linear","NN + L2","0.15"
"27","linear","NN + Scale","0.15"
"27","linear","NN + Offset","0.175"
"27","xor","NN","0.175"
"27","xor","NN + L2","0.275"
"27","xor","NN + Scale","0.275"
"27","xor","NN + Offset","0.15"
"28","moons","NN","0.125"
"28","moons","NN + L2","0.125"
"28","moons","NN + Scale","0.125"
"28","moons","NN + Offset","0.125"
"28","circles","NN","0.575"
"28","circles","NN + L2","0.575"
"28","circles","NN + Scale","0.425"
"28","circles","NN + Offset","0.3"
"28","linear","NN","0.125"
"28","linear","NN + L2","0.175"
"28","linear","NN + Scale","0.2"
"28","linear","NN + Offset","0.2"
"28","xor","NN","0.2"
"28","xor","NN + L2","0.225"
"28","xor","NN + Scale","0.225"
"28","xor","NN + Offset","0.175"
"29","moons","NN","0.2"
"29","moons","NN + L2","0.225"
"29","moons","NN + Scale","0.25"
"29","moons","NN + Offset","0.25"
"29","circles","NN","0.5"
"29","circles","NN + L2","0.55"
"29","circles","NN + Scale","0.3"
"29","circles","NN + Offset","0.4"
"29","linear","NN","0.275"
"29","linear","NN + L2","0.375"
"29","linear","NN + Scale","0.25"
"29","linear","NN + Offset","0.25"
"29","xor","NN","0.225"
"29","xor","NN + L2","0.175"
"29","xor","NN + Scale","0.225"
"29","xor","NN + Offset","0.25"
"30","moons","NN","0.05"
"30","moons","NN + L2","0.1"
"30","moons","NN + Scale","0.1"
"30","moons","NN + Offset","0.125"
"30","circles","NN","0.15"
"30","circles","NN + L2","0.1"
"30","circles","NN + Scale","0.175"
"30","circles","NN + Offset","0.175"
"30","linear","NN","0.2"
"30","linear","NN + L2","0.2"
"30","linear","NN + Scale","0.2"
"30","linear","NN + Offset","0.25"
"30","xor","NN","0.325"
"30","xor","NN + L2","0.275"
"30","xor","NN + Scale","0.275"
"30","xor","NN + Offset","0.25"
"31","moons","NN","0.15"
"31","moons","NN + L2","0.175"
"31","moons","NN + Scale","0.175"
"31","moons","NN + Offset","0.15"
"31","circles","NN","0.375"
"31","circles","NN + L2","0.225"
"31","circles","NN + Scale","0.25"
"31","circles","NN + Offset","0.25"
"31","linear","NN","0.225"
"31","linear","NN + L2","0.25"
"31","linear","NN + Scale","0.2"
"31","linear","NN + Offset","0.2"
"31","xor","NN","0.125"
"31","xor","NN + L2","0.1"
"31","xor","NN + Scale","0.125"
"31","xor","NN + Offset","0.2"
"32","moons","NN","0.075"
"32","moons","NN + L2","0.05"
"32","moons","NN + Scale","0.1"
"32","moons","NN + Offset","0.1"
"32","circles","NN","0.425"
"32","circles","NN + L2","0.325"
"32","circles","NN + Scale","0.35"
"32","circles","NN + Offset","0.425"
"32","linear","NN","0.075"
"32","linear","NN + L2","0.05"
"32","linear","NN + Scale","0.05"
"32","linear","NN + Offset","0.05"
"32","xor","NN","0.225"
"32","xor","NN + L2","0.2"
"32","xor","NN + Scale","0.2"
"32","xor","NN + Offset","0.25"
"33","moons","NN","0.325"
"33","moons","NN + L2","0.375"
"33","moons","NN + Scale","0.375"
"33","moons","NN + Offset","0.35"
"33","circles","NN","0.375"
"33","circles","NN + L2","0.4"
"33","circles","NN + Scale","0.475"
"33","circles","NN + Offset","0.45"
"33","linear","NN","0.125"
"33","linear","NN + L2","0.1"
"33","linear","NN + Scale","0.125"
"33","linear","NN + Offset","0.125"
"33","xor","NN","0.175"
"33","xor","NN + L2","0.2"
"33","xor","NN + Scale","0.075"
"33","xor","NN + Offset","0.2"
"34","moons","NN","0.2"
"34","moons","NN + L2","0.175"
"34","moons","NN + Scale","0.175"
"34","moons","NN + Offset","0.175"
"34","circles","NN","0.2"
"34","circles","NN + L2","0.4"
"34","circles","NN + Scale","0.275"
"34","circles","NN + Offset","0.25"
"34","linear","NN","0.15"
"34","linear","NN + L2","0.175"
"34","linear","NN + Scale","0.125"
"34","linear","NN + Offset","0.15"
"34","xor","NN","0.25"
"34","xor","NN + L2","0.225"
"34","xor","NN + Scale","0.2"
"34","xor","NN + Offset","0.125"
"35","moons","NN","0.25"
"35","moons","NN + L2","0.225"
"35","moons","NN + Scale","0.225"
"35","moons","NN + Offset","0.15"
"35","circles","NN","0.475"
"35","circles","NN + L2","0.45"
"35","circles","NN + Scale","0.4"
"35","circles","NN + Offset","0.475"
"35","linear","NN","0.2"
"35","linear","NN + L2","0.175"
"35","linear","NN + Scale","0.175"
"35","linear","NN + Offset","0.175"
"35","xor","NN","0.15"
"35","xor","NN + L2","0.2"
"35","xor","NN + Scale","0.175"
"35","xor","NN + Offset","0.175"
"36","moons","NN","0.15"
"36","moons","NN + L2","0.075"
"36","moons","NN + Scale","0.1"
"36","moons","NN + Offset","0.075"
"36","circles","NN","0.425"
"36","circles","NN + L2","0.225"
"36","circles","NN + Scale","0.225"
"36","circles","NN + Offset","0.175"
"36","linear","NN","0.05"
"36","linear","NN + L2","0.125"
"36","linear","NN + Scale","0.125"
"36","linear","NN + Offset","0.1"
"36","xor","NN","0.6"
"36","xor","NN + L2","0.05"
"36","xor","NN + Scale","0.225"
"36","xor","NN + Offset","0.225"
"37","moons","NN","0.2"
"37","moons","NN + L2","0.2"
"37","moons","NN + Scale","0.2"
"37","moons","NN + Offset","0.2"
"37","circles","NN","0.425"
"37","circles","NN + L2","0.425"
"37","circles","NN + Scale","0.45"
"37","circles","NN + Offset","0.45"
